ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
191,11,20,1 2 4 5 7 9 13 14 16 18 19 ,-4.263636
192,2,20,9 19 ,-3.965000
193,19,20,1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-3.720526
194,13,20,1 2 3 4 5 7 8 9 12 15 16 18 19 ,-4.149230
195,16,20,2 3 4 5 7 8 10 11 12 13 14 16 17 18 19 20 ,-2.794375
196,4,20,4 6 9 10 ,-0.175000
197,11,20,1 3 7 8 10 11 13 15 17 19 20 ,0.897273
198,14,20,2 3 4 5 6 9 10 11 12 14 16 18 19 20 ,-1.792143
199,3,20,13 16 17 ,5.796667
200,18,20,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 19 20 ,-3.703332
201,12,20,1 2 3 4 8 9 10 14 15 17 19 20 ,-5.242499
202,5,20,1 3 7 10 13 ,-3.666000
203,8,20,4 5 8 9 13 15 16 20 ,4.320000
204,6,20,1 6 12 14 16 18 ,-1.978333
205,18,20,1 2 3 4 5 7 8 9 10 11 12 13 15 16 17 18 19 20 ,-1.627778
206,11,20,1 3 5 6 8 9 10 11 12 14 18 ,-1.753636
207,8,20,2 3 8 9 12 13 19 20 ,-3.586250
208,13,20,1 2 3 5 8 10 11 13 14 16 17 18 19 ,-3.355385
209,2,20,9 16 ,4.790000
210,4,20,1 4 13 14 ,-0.490000
211,6,20,2 3 10 13 17 18 ,-0.886667
212,9,20,1 3 7 8 10 12 13 17 18 ,-0.627778
213,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
214,3,20,4 12 20 ,2.140000
215,17,20,3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 ,-1.909413
216,15,20,2 3 5 6 7 8 9 10 13 14 15 16 18 19 20 ,-4.422668
217,15,20,1 2 3 4 5 7 9 10 12 14 15 16 18 19 20 ,-4.839334
218,4,20,2 9 16 18 ,0.595000
219,11,20,1 2 3 5 9 10 12 13 14 15 17 ,0.044545
220,13,20,1 2 4 6 7 8 10 11 12 15 18 19 20 ,-3.313077
221,16,20,1 2 3 4 5 6 7 10 11 12 13 14 16 17 19 20 ,-0.429375
222,13,20,1 2 6 7 9 10 12 13 14 16 18 19 20 ,-8.120768
223,14,20,1 2 3 4 5 7 9 10 11 12 13 16 17 18 ,0.198571
224,18,20,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ,-0.830556
225,3,20,4 8 20 ,4.103333
226,13,20,1 3 4 5 6 7 10 12 16 17 18 19 20 ,-2.117692
227,16,20,1 2 3 4 6 7 9 10 11 13 14 15 16 17 18 20 ,-2.555000
228,2,20,14 20 ,0.705000
229,15,20,2 3 4 6 8 9 10 11 12 13 14 16 17 18 19 ,-2.098667
230,19,20,1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.631580
231,8,20,1 2 6 12 13 15 16 20 ,-0.950000
232,15,20,1 2 3 4 5 6 7 8 9 11 12 13 14 17 19 ,-1.045334
233,6,20,2 4 6 7 15 20 ,1.946667
234,9,20,2 3 4 5 6 8 11 13 20 ,1.463334
235,15,20,1 2 4 5 6 7 8 9 10 11 14 15 17 18 19 ,-1.777334
236,19,20,1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-3.720526
237,10,20,1 2 3 6 10 11 15 16 17 19 ,-3.838000
238,8,20,2 3 6 9 12 14 18 19 ,0.333751
239,13,20,1 2 5 6 8 10 11 12 14 15 16 18 19 ,-3.765384
240,6,20,3 4 6 9 13 18 ,-1.864999
241,18,20,1 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 ,-0.851667
242,15,20,1 2 3 5 6 7 8 11 12 13 14 16 17 18 19 ,1.128000
243,2,20,16 19 ,-3.070000
244,11,20,1 4 5 6 7 8 11 12 13 16 19 ,1.648182
245,17,20,1 2 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 ,2.428235
246,11,20,1 5 8 9 10 11 12 13 14 17 20 ,-0.652727
247,9,20,4 5 6 7 8 14 16 17 20 ,1.288889
248,16,20,2 3 4 6 7 8 9 11 12 13 14 15 16 17 19 20 ,-0.965625
249,11,20,2 3 4 5 7 10 11 12 13 14 18 ,-0.671818
250,2,20,7 13 ,-4.130000
251,11,20,1 6 9 10 11 12 14 15 16 19 20 ,-3.678182
252,6,20,4 6 8 11 12 19 ,3.648334
